Organization,Cell type/tissue,Antigen,Host,Name,Supplier,Cat. no.,Dilution
Human Pluripotent Stem Cell Markers,Human Pluripotent Stem Cell Markers,Nanog,Goat,Goa-Nanog,R&D Biosciences ,SC009,10
Human Pluripotent Stem Cell Markers,Human Pluripotent Stem Cell Markers,Oct-3-4,Goat,Goa-Oct-3-4,R&D Biosciences ,SC009,10
Human Pluripotent Stem Cell Markers,Differentiation Marker/  SSEA-3 and 4 are downregulated in human stem cells during differentiation,SSEA-4,Mouse,Mou-SSEA-4,R&D Biosciences ,SC009,10
Human Pluripotent Stem Cell Markers,Differentiation Marker/ Upregulated during ESCs/ In contrast SSEA-3 and 4 are downregulated in human stem cells ,SSEA-1,Mouse,Mou-SSEA-1,R&D Biosciences ,SC009,10
Human Pluripotent Stem Cell Markers,NSCs/ expressed in immature and undifferentiated cells of neural epithelium of entire CNS,Sox2,Mouse,Mou-Sox2,R&D Biosciences ,SC009,10
Human Pluripotent Stem Cell Markers,Stem Cell Suface Marker,E-Cadherin,Mouse,Mou-E-Cadherin,R&D Biosciences ,SC009,10
Human Pluripotent Stem Cell Markers,Human Pluripotent Stem Cell Markers,CD9,Mouse,Mou-CD9,R&D Biosciences ,SC009,10
Human Pluripotent Stem Cell Markers,Human Pluripotent Stem Cell Markers,Podocalyxin,Mouse,Mou-Podocalyxin,R&D Biosciences ,SC009,10
Lancaster 2014 Organoid,Neurons,DCX,Goat,Goa-DCX,Santa Cruz Antibodies,sc-8066,300
Lancaster 2014 Organoid,Hippocampus,Prox1,Mouse,Mou-Prox1,Chemicon,MAB5654,200
Lancaster 2014 Organoid,Neurons,Tuj1,Mouse,Mou-Tuj1,Covance,MMS-435P,750
Lancaster 2014 Organoid,Pre-plate/Cajal-retzius cells,Reelin,Mouse,Mou-Reelin,Millipore,MAB5366,200
Lancaster 2014 Organoid,Radial glia/NSCs,Phospho-vimentin,Mouse,Mou-Phospho-vimentin,MBL International,D076-3S,250
Lancaster 2014 Organoid,Forebrain,Foxg1,Rabbit,Rab-Foxg1,Abcam,ab18259,200
Lancaster 2014 Organoid,Hippocampus,Fzd9,Rabbit,Rab-Fzd9,Acris,SP4153P,200
Lancaster 2014 Organoid,Intermediate progenitors,Tbr2,Rabbit,Rab-Tbr2,Chemicon,AB9618,500
Lancaster 2014 Organoid,Pre-plate/deep-layer neurons,Tbr1,Rabbit,Rab-Tbr1,Abcam,ab31940,300
Lancaster 2014 Organoid,Radial glia/NSCs,Sox2,Rabbit,Rab-Sox2,Chemicon,AB5603,300
Lancaster 2014 Organoid,Radial glia/NSCs,Pax6,Rabbit,Rab-Pax6,Covance,PRB-278P,300
Lancaster 2014 Organoid,Surface-layer neurons,Satb2,Rabbit,Rab-Satb2,Abcam,ab34735,100
Lancaster 2014 Organoid,Ventral forebrain,Nkx2.1,Rabbit,Rab-Nkx2.1,Epitomics,6594-1,250
Lancaster 2014 Organoid,Deep-layer cortical neurons,Ctip2,Rat,Rat-Ctip2,Abcam,ab18465,100
Lancaster 2014 Organoid,Choroid plexus,Ttr,Sheep,She-Ttr,AbD Serotec,AHP1837,100
Neural Progenetor Markers (Hu/Rt/Mouse),NSCs/ essential for maintaining NSCs in undifferentated state,Sox1,Goat,Goa-Sox1,R&D Biosciences ,SC026,10
Neural Progenetor Markers (Hu/Rt/Mouse),NSCs/ expressed in immature and undiferentated cells of neural epithelium of entire CNS,Sox2,Goat,Goa-Sox2,R&D Biosciences ,SC027,10
Neural Progenetor Markers (Hu/Rt/Mouse),"NSCs/ neural stem cells that undergo asymmetric cell
divisions express Notch1 whereas those that undergo symmetric
cell divisions do not",Notch-1,Goat,Goa-Notch-1,R&D Biosciences ,SC029,10
Neural Progenetor Markers (Hu/Rt/Mouse),Proliferating Multipotent Neural Precursors and decreases during differentiation,Musachi-1,Goat,Goa-Musachi-1,R&D Biosciences ,SC028,10
Neural Progenetor Markers (Hu/Rt/Mouse),Differentiation Marker/ Upregulated during ESCs/ In contrast SSEA-3 and 4 are downregulated in human stem cells ,SSEA-1,Mouse,Mou-SSEA-1,R&D Biosciences ,SC032,10
Neural Progenetor Markers (Hu/Rt/Mouse),Early NSCs/ Cell surface marker,Cxcr4,Mouse,Mou-Cxcr4,R&D Biosciences ,SC031,10
Neural Progenetor Markers (Hu/Rt/Mouse),Radial glia/NSCs,Nestin,Mouse,Mou-Nestin,R&D Biosciences ,SC025,10
Neural Progenetor Markers (Hu/Rt/Mouse),Radial glia/NSCs,Vimentin,Rat,Rat-Vimentin,R&D Biosciences ,SC030,10
Other,Other,Tuj1,Chicken,Chi-Tuj1,Aves,MMS-435P,1000
