Code,Host,Antibody Against,Excitation,Summary,Dilution,Cat#
Green,Donkey,Goat,488,Donkey _ Goat-488,200,
Red,Donkey,Goat,594,Donkey _ Goat-594,200,
F.Red,Donkey,Goat,647,Donkey _ Goat-647,200,A21447
Red,Donkey,Mouse ,546,Donkey _ Mouse -546,200,A10036
Green,Donkey,Mouse,488,Donkey _ Mouse-488,200,
F.Red,Donkey,Mouse,647,Donkey _ Mouse-647,200,
Green,Donkey,Rabbit,488,Donkey _ Rabbit-488,200,A21206
Red,Donkey,Rabbit,555,Donkey _ Rabbit-555,200,A31572
F.Red,Donkey,Rabbit,647,Donkey _ Rabbit-647,200,A31573
Green,Donkey,Sheep ,488,Donkey _ Sheep -488,200,A11015
Red,Donkey,Sheep ,555,Donkey _ Sheep -555,200,A21436
F.Red,Donkey,Sheep ,647,Donkey _ Sheep -647,200,A21448
Green,Goat,Chicken,488,Goat _ Chicken-488,200,A11039
F.Red,Goat,Chicken,647,Goat _ Chicken-647,200,A21449
Green,Goat,Rat,488,Goat _ Rat-488,200,
Red,Goat,Rat,555,Goat _ Rat-555,200,A21434
